Symbol: QQQ,,,,,Study: VOL (LikeMain)
Date Time,Open,High,Low,Close,Volume
6/14/01,37.2411,37.5626,35.5322,35.7437,107623877
6/15/01,35.363,36.4374,34.9231,36.0398,99986913
6/18/01,36.0736,36.522,35.0246,35.5576,75104854
6/19/01,36.6489,36.852,34.9061,35.3799,86745290
6/20/01,34.94,36.3528,34.9231,36.1836,98803999
6/21/01,36.099,37.4188,35.786,36.6743,79447077
6/22/01,36.9027,37.3934,36.0313,36.5897,61312196
6/25/01,36.8943,37.055,36.0821,36.6828,46349696
6/26/01,35.989,37.1311,35.9383,36.8097,65194725
6/27/01,36.9535,37.3511,36.3782,37.0465,62989562
6/28/01,37.5626,39.2208,37.5203,37.5203,106339490
6/29/01,38.1463,39.3561,37.8164,38.6624,70590181
7/2/01,38.6201,39.3223,38.2309,38.4509,60146612
7/3/01,38.2817,38.6539,37.901,38.6117,29265052
7/5/01,37.9602,38.2225,36.7589,36.7589,52493570
7/6/01,36.3867,36.4713,35.1007,35.2361,63161348
7/9/01,35.4391,36.1159,35.1092,35.5407,53838287
7/10/01,36.1752,36.2767,34.1786,34.2632,69290376
7/11/01,34.1955,34.7708,33.7302,34.6862,92009167
7/12/01,36.0652,37.0804,35.786,36.8858,83171289
7/13/01,36.6997,37.588,36.2936,36.5051,73846172
7/16/01,36.6912,37.1058,35.4476,35.8283,63109336
7/17/01,35.3799,36.7166,35.143,36.632,70700558
7/18/01,35.7606,36.2513,34.8046,35.2361,76592004
7/19/01,35.9214,36.6743,35.3207,36.0736,90531746
7/20/01,35.1007,35.6506,34.9908,35.2361,57934425
7/23/01,35.7352,35.8706,34.3055,34.3562,65400910
7/24/01,34.1617,34.6016,33.2564,33.9671,83241708
7/25/01,33.9586,34.4493,33.3326,34.2632,81393854
7/26/01,34.2209,35.4391,33.8233,34.7708,81795378
7/27/01,35.2276,35.7522,34.94,35.4899,56090586
7/30/01,35.6422,35.786,35.0246,35.2784,46642053
7/31/01,35.3968,36.1921,35.1092,35.3291,65877395
8/1/01,36.0652,36.8012,35.8791,36.4628,63669628
8/2/01,37.0465,37.2242,36.2259,37.1481,62868736
8/3/01,36.8266,36.8266,36.006,36.5305,60890531
8/6/01,35.9806,36.2513,35.8283,35.9552,36767760
8/7/01,35.6168,36.2259,35.4814,35.7691,45398655
8/8/01,35.4053,36.0821,34.094,34.2632,89887419
8/9/01,34.187,34.5847,33.8233,34.407,79031966
8/10/01,34.1955,34.4747,33.1888,34.0771,80959177
8/13/01,34.3393,34.9738,34.0094,34.7708,57240446
8/14/01,35.1007,35.2784,34.297,34.3478,60599641
8/15/01,34.3647,34.627,33.0534,33.0788,69663051
8/16/01,32.6896,33.4933,32.182,33.4679,80646591
8/17/01,32.5204,32.825,31.9028,31.9451,66961050
8/20/01,32.0213,32.6981,31.7421,32.3851,59008222
8/21/01,32.3935,32.6981,31.0061,31.0399,66720219
8/22/01,31.6829,32.0128,30.913,31.8859,77093461
8/23/01,31.869,32.5373,31.556,31.5729,64670787
8/24/01,32.0297,33.3241,31.9367,33.248,69090122
8/27/01,33.2311,33.7556,32.8504,33.2903,60197629
8/28/01,33.2649,33.3664,32.1566,32.2497,77157374
8/29/01,32.4612,32.5289,31.4122,31.7759,69811160
8/30/01,31.133,31.5644,30.2447,30.6,89959043
8/31/01,30.4815,31.3275,30.4054,30.9891,64194790
9/4/01,30.8876,31.7252,29.9063,30.0078,87556928
9/5/01,30.0247,30.38,28.8911,29.8893,112837852
9/6/01,29.3902,30.0501,28.578,28.6796,104847735
9/7/01,28.4427,29.6948,28.2143,28.5104,112917408
9/10/01,28.3327,29.0349,28.2058,28.8488,95000864
